player_fifa_api_id,player_name,overall_rating
201535,Raphael Varane,82
157481,Raul Albiol,81
171579,Raul Garcia,81
45661,Raul,81
121933,Rene Adler,80
20775,Ricardo Quaresma,80
193352,Ricardo Rodriguez,82
204485,Riyad Mahrez,81
330,Robbie Keane,80
158400,"Robert Enke,30",85
188545,Robert Lewandowski,88
201942,Roberto Firmino,82
193061,Roberto Pereyra,80
183666,Roberto,80
7826,Robin van Persie,81
189117,Roman Buerki,80
192505,Romelu Lukaku,82
186148,Ron-Robert Zieler,80
199189,Ross Barkley,80
178005,Rui Patricio,81
169596,Ryan Shawcross,80
168435,Salvatore Sirigu,82
19977,Sami Hyypiae,80
179846,Sami Khedira,81
162835,Samir Handanovic,84
165239,Samir Nasri,82
9676,Samuel Eto'o,80
205600,Samuel Umtiti,80
146562,Santi Cazorla,85
180216,Seamus Coleman,81
184431,Sebastian Giovinco,82
197853,Serge Aurier,81
153079,Sergio Aguero,88
178750,Sergio Asenjo,81
189511,Sergio Busquets,86
155862,Sergio Ramos,87
189358,Shinji Kagawa,82
192227,Shkodran Mustafi,82
179645,Simon Kjaer,80
184881,Sofiane Feghouli,81
172879,Sokratis Papastathopoulos,83
198176,Stefan de Vrij,81
204639,Stefan Savic,81
108080,Stephan Lichtsteiner,82
167628,Stephane Ruffier,83
181820,Stevan Jovetic,80
163705,Steve Mandanda,83
167990,Steve Savidan,80
13743,Steven Gerrard,81
177458,Sven Bender,82
164859,Theo Walcott,81
189509,Thiago Alcantara,83
49370,Thiago Motta,82
164240,Thiago Silva,88
192119,Thibaut Courtois,86
189596,Thomas Mueller,86
157304,Thomas Vermaelen,80
4098,Tiago,80
200316,Timo Horn,81
184087,Toby Alderweireld,82
182521,Toni Kroos,87
181786,Vedran Corluka,80
189560,Vicente Iborra,81
193469,Victor Ruiz,80
106573,Victor Valdes,81
177553,Vieirinha,80
139968,Vincent Enyeama,81
139720,Vincent Kompany,85
199715,Vitolo,81
54050,Wayne Rooney,85
139869,Wesley Sneijder,82
189963,Wilfried Bony,80
207566,William Carvalho,81
180403,Willian,83
